0	213
1	269
2	27
2	30
2	164
2	360
2	443
3	108
3	267
4	232
4	280
4	410
4	473
5	156
5	360
5	466
5	478
6	15
6	106
7	0
7	97
7	369
7	414
8	221
10	4
10	196
10	224
11	10
11	200
12	187
12	342
13	0
13	193
13	261
14	131
14	362
14	371
14	384
15	234
16	143
16	252
16	344
17	227
18	5
18	48
18	148
19	187
19	267
19	294
21	85
21	326
21	455
21	470
22	61
22	376
22	493
23	200
23	384
24	168
24	468
25	405
25	482
27	466
27	483
28	85
29	33
29	366
30	25
30	314
30	490
31	85
31	397
32	154
32	239
32	240
33	91
35	89
35	147
35	315
36	10
36	30
37	226
37	265
37	273
37	335
38	480
39	13
40	75
41	39
41	59
41	119
41	451
41	493
42	171
42	220
43	492
44	490
45	155
45	304
46	415
47	0
47	299
47	390
48	242
49	41
49	391
50	209
50	222
50	289
50	339
50	358
51	467
52	477
53	102
53	253
53	309
54	434
54	438
55	15
55	164
56	484
57	176
58	172
59	76
59	340
59	432
60	175
60	339
61	98
61	488
62	190
62	270
62	358
63	132
63	477
64	89
64	126
64	410
65	73
65	220
65	305
65	390
65	410
66	46
66	491
67	1
67	258
68	298
68	333
68	387
70	21
70	129
70	368
71	21
71	199
72	94
72	446
73	347
74	216
75	115
75	228
75	434
76	120
77	21
77	33
77	169
77	404
78	346
78	496
79	107
79	439
80	82
80	277
80	297
82	87
82	469
83	71
83	426
83	451
87	225
87	325
88	172
88	383
88	389
90	72
90	82
90	412
90	435
90	467
92	27
92	39
93	122
93	418
94	24
94	262
95	206
95	462
95	492
96	234
96	324
96	444
96	467
97	25
97	28
97	134
98	206
98	348
99	309
99	349
100	3
100	413
100	453
101	87
101	360
102	233
103	333
103	487
104	235
104	311
105	63
106	244
106	485
107	141
107	188
107	243
107	410
109	163
109	294
109	298
110	286
111	254
112	414
113	64
113	260
113	421
113	450
114	46
115	315
116	297
117	13
117	72
117	358
118	157
118	490
119	234
119	442
120	100
121	254
121	498
122	289
123	27
123	98
123	136
123	463
124	36
124	329
126	478
126	482
127	6
127	25
127	227
128	414
129	188
130	244
131	161
131	171
131	220
131	309
132	24
132	194
133	341
133	375
134	20
134	27
134	230
135	173
135	206
135	476
136	213
136	267
136	270
136	419
136	494
137	102
137	136
137	156
137	432
138	340
139	201
139	250
140	307
140	398
141	41
141	249
141	268
141	292
142	82
142	180
142	287
142	393
142	436
142	440
142	479
143	43
143	327
144	249
144	314
145	236
146	324
146	449
147	105
147	379
148	478
149	498
150	252
150	320
150	476
151	162
151	228
151	267
151	378
151	441
152	232
152	246
153	86
153	143
153	247
153	427
154	402
156	125
156	131
156	336
156	445
157	129
157	354
158	268
159	85
159	161
159	207
159	323
160	83
162	62
163	254
164	381
164	459
165	441
166	155
166	206
166	395
167	14
167	191
167	277
167	384
167	417
167	449
168	136
168	138
