0	0	0.503146
1	1	0.513803
2	2	0.968496
3	3	0.509919
4	4	0.995097
5	5	0.992009
6	6	0.967557
7	7	0.982579
8	8	0.96723
9	9	0.993784
10	10	0.511517
11	11	0.996227
12	12	0.996371
13	13	0.99514
14	14	0.997921
15	15	0.996959
16	16	0.532924
17	17	0.987202
18	18	0.510558
19	19	0.998106
20	20	0.989818
21	21	0.440251
22	22	0.986787
23	23	0.999698
24	24	0.573168
25	25	0.996403
26	26	0.982377
27	27	0.992115
28	28	0.993799
29	29	0.999697
30	30	0.999697
31	31	0.989203
32	32	0.427224
33	33	0.993262
34	34	0.999697
35	35	0.418901
36	36	0.996407
37	37	0.997977
38	38	0.964572
39	39	0.969696
40	40	0.997308
41	41	0.99792
42	42	0.998182
43	43	0.585693
44	44	0.943048
45	45	0.997771
46	46	0.513201
47	47	0.994568
48	48	0.4288
49	49	0.996688
50	50	0.525655
51	51	0.989284
52	52	0.969437
53	53	0.997987
54	54	0.988366
55	55	0.994556
56	56	0.991266
57	57	0.998236
58	58	0.996778
59	59	0.997999
60	60	0.998187
61	61	0.997238
62	62	0.997566
63	63	0.997624
64	64	0.439973
65	65	0.945621
66	66	0.522484
67	67	0.519025
68	68	0.9422
69	69	0.521921
70	70	0.985594
71	71	0.969302
72	72	0.992767
73	73	0.999881
74	74	0.942536
75	75	0.986787
76	76	0.991266
77	77	0.985829
78	78	0.996982
79	79	0.991706
80	80	0.996304
81	81	0.998236
82	82	0.433787
83	83	0.988088
84	84	0.997908
85	85	0.997918
86	86	0.997642
87	87	0.507603
88	88	0.997626
89	89	0.936818
90	90	0.964952
91	91	0.986866
92	92	0.986128
93	93	0.993868
94	94	0.993759
95	95	0.937234
96	96	0.997322
97	97	0.997446
98	98	0.964882
99	99	0.999698
