0	392	0	392	1.0
1	391	1	391	1.0
1	214	1	214	1.0
1	351	1	351	1.0
2	386	2	386	1.0
2	168	2	168	1.0
2	452	2	452	1.0
2	244	2	244	1.0
3	483	3	483	1.0
3	86	3	86	1.0
3	335	3	335	1.0
3	322	3	322	1.0
4	239	4	239	1.0
4	458	4	458	1.0
4	96	4	96	1.0
4	218	4	218	1.0
5	292	5	292	1.0
6	422	6	422	1.0
6	462	6	462	1.0
6	296	6	296	1.0
6	270	6	270	1.0
7	392	7	392	1.0
8	17	8	17	1.0
8	110	8	110	1.0
9	458	9	458	1.0
9	4	9	4	1.0
9	239	9	239	1.0
9	376	9	376	1.0
11	290	11	290	1.0
11	245	11	245	1.0
11	403	11	403	1.0
12	379	12	379	1.0
13	158	13	158	1.0
13	32	13	32	1.0
13	37	13	37	1.0
13	299	13	299	1.0
14	204	14	204	1.0
15	342	15	342	1.0
15	107	15	107	1.0
15	389	15	389	1.0
15	157	15	157	1.0
16	180	16	180	1.0
16	160	16	160	1.0
16	489	16	489	1.0
16	422	16	422	1.0
17	8	17	8	1.0
17	110	17	110	1.0
18	484	18	484	1.0
18	108	18	108	1.0
18	335	18	335	1.0
18	99	18	99	1.0
19	235	19	235	1.0
19	24	19	24	1.0
19	147	19	147	1.0
19	255	19	255	1.0
20	428	20	428	1.0
20	408	20	408	1.0
20	333	20	333	1.0
22	480	22	480	1.0
22	393	22	393	1.0
22	367	22	367	1.0
22	111	22	111	1.0
23	109	23	109	1.0
23	256	23	256	1.0
23	213	23	213	1.0
24	235	24	235	1.0
24	19	24	19	1.0
24	255	24	255	1.0
24	147	24	147	1.0
25	272	25	272	1.0
25	120	25	120	1.0
25	117	25	117	1.0
25	274	25	274	1.0
26	185	26	185	1.0
26	430	26	430	1.0
26	375	26	375	1.0
26	260	26	260	1.0
27	303	27	303	1.0
27	466	27	466	1.0
27	73	27	73	1.0
30	157	30	157	1.0
30	15	30	15	1.0
30	107	30	107	1.0
31	414	31	414	1.0
31	201	31	201	1.0
31	425	31	425	1.0
32	158	32	158	1.0
32	92	32	92	1.0
32	13	32	13	1.0
32	37	32	37	1.0
33	173	33	173	1.0
33	100	33	100	1.0
33	184	33	184	1.0
34	359	34	359	1.0
34	96	34	96	1.0
34	89	34	89	1.0
34	239	34	239	1.0
35	443	35	443	1.0
35	316	35	316	1.0
35	388	35	388	1.0
35	424	35	424	1.0
36	35	36	35	1.0
36	443	36	443	1.0
36	316	36	316	1.0
36	224	36	224	1.0
37	158	37	158	1.0
37	13	37	13	1.0
37	32	37	32	1.0
37	299	37	299	1.0
38	13	38	13	1.0
38	351	38	351	1.0
38	480	38	480	1.0
38	299	38	299	1.0
39	338	39	338	1.0
39	238	39	238	1.0
39	485	39	485	1.0
39	99	39	99	1.0
40	131	40	131	1.0
40	369	40	369	1.0
40	401	40	401	1.0
40	249	40	249	1.0
41	354	41	354	1.0
41	300	41	300	1.0
41	174	41	174	1.0
41	54	41	54	1.0
42	420	42	420	1.0
42	397	42	397	1.0
42	115	42	115	1.0
43	370	43	370	1.0
43	177	43	177	1.0
43	325	43	325	1.0
44	400	44	400	1.0
44	132	44	132	1.0
44	428	44	428	1.0
45	133	45	133	1.0
45	467	45	467	1.0
45	464	45	464	1.0
46	58	46	58	1.0
46	189	46	189	1.0
48	352	48	352	1.0
48	69	48	69	1.0
48	406	48	406	1.0
48	471	48	471	1.0
49	434	49	434	1.0
49	281	49	281	1.0
49	177	49	177	1.0
49	70	49	70	1.0
50	146	50	146	1.0
50	80	50	80	1.0
50	75	50	75	1.0
51	188	51	188	1.0
51	478	51	478	1.0
51	56	51	56	1.0
51	436	51	436	1.0
52	288	52	288	1.0
52	494	52	494	1.0
52	54	52	54	1.0
53	250	53	250	1.0
53	460	53	460	1.0
53	390	53	390	1.0
54	300	54	300	1.0
54	494	54	494	1.0
54	52	54	52	1.0
54	174	54	174	1.0
55	123	55	123	1.0
55	431	55	431	1.0
55	319	55	319	1.0
56	478	56	478	1.0
56	51	56	51	1.0
56	436	56	436	1.0
56	188	56	188	1.0
57	426	57	426	1.0
57	277	57	277	1.0
