0	5
0	91
0	6
1	79
1	58
1	27
2	1
2	79
2	58
3	35
3	93
3	86
4	28
4	60
5	92
5	0
5	91
6	36
6	0
6	91
7	49
7	97
8	40
8	91
9	13
9	23
10	36
10	6
10	96
11	38
11	1
11	2
12	63
12	54
12	71
13	93
13	9
14	55
14	87
15	82
15	54
15	71
16	86
16	3
17	69
17	85
17	39
18	47
18	65
18	97
19	90
19	31
19	37
20	60
20	28
21	84
21	7
21	49
22	16
22	80
23	43
23	9
23	76
24	95
24	41
24	49
25	40
25	59
25	80
26	64
26	20
26	60
27	45
27	31
27	74
28	60
28	20
28	4
29	4
29	28
29	51
30	90
30	19
30	31
31	74
31	19
31	90
32	60
33	42
33	84
33	76
34	95
34	94
34	24
35	3
35	86
36	6
36	55
37	90
37	19
37	74
38	25
38	11
39	85
39	69
39	68
40	59
40	25
40	89
41	89
41	24
42	43
42	76
42	33
43	23
43	42
44	62
44	26
44	20
45	27
45	30
46	70
46	48
46	71
47	18
47	49
47	65
48	70
48	53
48	87
49	7
49	97
49	18
50	35
50	52
51	57
51	28
51	88
52	50
53	48
53	87
54	71
54	63
55	87
55	14
55	0
56	67
56	30
56	75
57	51
57	28
57	4
58	79
58	1
58	27
59	86
59	40
60	20
60	28
61	99
61	94
61	78
62	44
62	26
62	20
63	12
63	54
63	48
64	26
64	39
64	85
65	18
65	97
65	47
66	78
66	99
66	94
67	68
67	60
68	85
68	69
68	39
69	85
69	39
69	68
70	48
70	87
70	46
71	54
72	15
72	96
72	92
73	34
73	95
73	76
74	31
74	19
74	37
75	90
75	37
75	19
76	42
76	23
76	43
77	74
77	27
77	58
78	66
78	99
78	94
79	58
79	1
79	27
80	25
80	59
81	6
81	95
81	91
82	15
82	71
83	88
83	32
83	20
84	21
84	99
84	94
85	39
85	69
85	68
86	3
86	93
87	70
87	55
88	51
88	57
88	83
89	41
89	97
89	40
90	19
90	30
90	37
91	0
91	6
91	81
92	5
92	0
93	3
93	86
94	99
94	78
94	66
95	34
95	24
95	81
96	6
96	36
97	49
97	7
98	54
99	78
99	66
99	94
