0	0	0.998754
1	1	0.999085
2	2	1
3	3	0.998882
4	4	0.999289
5	5	0.999351
6	6	0.999997
7	7	0.994259
8	8	1
9	9	0.99649
10	10	0.999083
11	11	0.994274
12	12	1
13	13	0.993554
14	14	1
15	15	1
16	16	0.997393
17	17	0.999031
18	18	0.998949
19	19	0.999978
20	20	0.996788
21	21	0.993018
22	22	0.997793
23	23	1
24	24	0.998278
25	25	1
26	26	0.978527
27	27	0.998697
28	28	0.995915
29	29	1
30	30	1
31	31	0.998385
32	32	0.996265
33	33	0.985833
34	34	1
35	35	0.99683
36	36	1
37	37	1
38	38	0.999997
39	39	1
40	40	0.998548
41	41	1
42	42	0.999793
43	43	0.999255
44	44	1
45	45	0.997045
46	46	0.995873
47	47	0.997621
48	48	0.995842
49	49	1
50	50	0.994233
51	51	0.98671
52	52	1
53	53	1
54	54	0.983747
55	55	0.99324
56	56	0.999724
57	57	0.997755
58	58	0.998998
59	59	0.999983
60	60	0.997966
61	61	1
62	62	1
63	63	1
64	64	0.997192
65	65	1
66	66	0.997105
67	67	0.999159
68	68	1
69	69	0.999385
70	70	0.984261
71	71	1
72	72	0.990446
73	73	1
74	74	1
75	75	0.997793
76	76	0.999724
77	77	0.999031
78	78	1
79	79	0.999528
80	80	0.999442
81	81	0.997786
82	82	0.996076
83	83	0.986007
84	84	0.999911
85	85	1
86	86	1
87	87	0.996824
88	88	1
89	89	0.999999
90	90	0.999981
91	91	0.992192
92	92	0.990822
93	93	0.998727
94	94	0.995024
95	95	0.999999
96	96	0.997719
97	97	0.998253
98	98	0.999987
99	99	1
